ID,Name,Countries,Country Codes,ISO639-3 Codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
259,Eastern Abenaki,United States of America,USA,aaq,Extinct,0,44.9423,-68.7328,
116,Aasax,United Republic of Tanzania,TZA,aas,Extinct,0,-5.1948,37.738,
283,Western Abenaki (United States of America),United States of America,USA,abe,Extinct,0,43.0046,-72.246,
2393,Western Abenaki (Canada),Canada,CAN,abe,Critically endangered,0,46.0785,-72.8141,Spread over 2 communities in Canada
429,Ahom,India,IND,aho,Extinct,0,26.5393,92.5378,
2184,Lishanid Noshan (Iraq),Iraq,IRQ,aij,Extinct,0,36.1777,44.165,"Province of Irbil, in Iraqi Kurdistan"
486,Ainu (Kuril),Russian Federation,RUS,ain,Extinct,0,46.8882,152.0068,the northern islands of the Kuril chain (especially Shumshu and Paramushir) and the southern tip of Kamchatka (Cape Lopatka)
494,Ainu (Sakhalin),Russian Federation,RUS,ain,Extinct,0,47.3983,142.2949,"the southern part of Sakhalin (Karafuto), from 1905 to 1945 under Japanese administration; most of the Ainu population was evacuated (after 1945) to Hokkaido, Japan, where a few speakers of Sakhalin Ainu survived until recently"
1658,Amanayé,Brazil,BRA,ama,Extinct,0,-3.7327,-49.1088,
756,Andoa (Ecuador),Ecuador,ECU,anb,Extinct,0,-2.3341,-76.5016,"Location in Ecuador:  Pastaza province, Pucayacu and Moretecocha regions."
2141,Aore,Vanuatu,VUT,aor,Extinct,0,-15.5767,167.1638,"Aore, Santo"
788,Lipan,United States of America,USA,apl,Extinct,0,33.1513,-105.799,Mescalero Reservation of New Mexico
1629,Arapáso,Brazil,BRA,arj,Extinct,0,0,-66,
1454,Arapaho (Oklahoma),United States of America,USA,arp,Extinct,0,35.602,-97.9712,Wind River Reservation in Wyoming; Cheyenne-Arapaho Tribe in Oklahoma
830,Atsugewi,United States of America,USA,atw,Extinct,0,40.8824,-122.6661,
2170,Arta,Philippines,PHL,atz,Extinct,0,16.4225,121.7042,
9,Baga Mboteni,Guinea,GIN,bgm,Critically endangered,0,10.7415,-14.5513,
2205,Barzani Jewish Neo-Aramaic (Iraq),Iraq,IRQ,bjf,Extinct,0,36.2619,43.9892,"Province of Irbil, Iraqi Kurdistan"
2661,Bina,Papua New Guinea,PNG,bmn,Extinct,0,-10.2365,149.6063,"Southeastern hinterland, eastern part of central Province"
1813,Miraña (Brazil),Brazil,BRA,boa,Critically endangered,0,-2.021,-65.6982,
