ID,Country Codes
259,USA
116,TZA
283,USA
2393,CAN
429,IND
2184,IRQ
486,RUS
494,RUS
1658,BRA
756,ECU
2141,VUT
788,USA
1629,BRA
1454,USA
830,USA
2170,PHL
9,GIN
2205,IRQ
2661,PNG
1813,BRA
855,USA
53,SDN
1653,TCD
1692,SDN
2048,CHN
1695,SDN
2042,CHN
2043,CHN
1893,NIC
255,USA
1894,NIC
796,USA
890,USA
587,PER
797,USA
8,EGY
798,USA
1338,TUR
298,DMA
857,USA
413,POL
807,USA
868,USA
2075,AUS
345,HRV
438,NPL
2629,SLB
2201,PHL
41,CMR
56,SDN
92,KEN
1321,CIV
689,RUS
465,RUS
1432,CHN
150,USA
2049,CHN
180,AUS
189,AUS
2671,PNG
1687,ETH
89,ETH
2632,SLB
68,SDN
42,CMR
59,SDN
1651,TCD
2219,MMR
1817,BRA
2592,IDN
2642,VUT
854,USA
696,MAR
111,ZAI
1925,BOL
2050,CHN
677,RUS
341,UKR
1353,RUS
822,USA
1443,ZAF
1444,ZAF
479,RUS
1517,RUS
1548,USA
2675,PNG
2091,PHL
783,USA
573,ARG
573,BOL
573,CHL
124,ANG
808,USA
2634,SLB
2596,IDN
2597,IDN
2658,PNG
301,SLV
301,HND
2134,SLB
1987,TUR
2351,SYR
2202,IRQ
825,USA
319,VEN
2687,PNG
209,AUS
771,USA
630,BRA
678,RUS
722,RUS
2552,IDN
2647,VUT
1895,NIC
94,KEN
781,USA
1838,BRA
2601,IDN
135,ZAF
2086,AUS
901,USA
131,ZAF
35,CMR
2073,AUS
2603,IDN
682,AUS
39,CMR
958,USA
1257,BTN
813,USA
603,BRA
105,UGA
852,USA
31,NGA
1782,BRA
639,ARG
2281,MYS
833,USA
831,USA
645,COL
2606,IDN
962,PER
832,USA
2608,IDN
2044,CHN
2045,CHN
2399,CAN
601,ARG
853,USA
1549,USA
791,USA
443,IND
1291,TUN
866,USA
108,UGA
129,BWA
827,USA
828,USA
329,RUS
2161,NCL
806,USA
1288,MAR
838,USA
839,USA
1896,NIC
2621,MYS
560,MMR
2064,ECU
1738,SDN
799,USA
16,CIV
2568,IDN
2204,IRN
1815,BRA
1534,USA
778,USA
2612,IDN
794,USA
2400,CAN
644,RUS
1062,TUR
1811,BRA
2709,PNG
2046,CHN
856,USA
662,ARG
2600,IDN
850,USA
774,USA
121,TZA
782,USA
1537,USA
136,ZAF
2677,PNG
477,RUS
881,USA
130,ZAF
1881,BRA
618,BRA
252,AUS
754,PER
158,RUS
509,RUS
610,BRA
849,USA
2713,PNG
21,NGA
4,ESP
12,GIN
17,ETH
17,TGO
87,ETH
93,KEN
100,KEN
104,UGA
125,ANG
126,ANG
137,KEN
170,AUS
177,AUS
305,COL
358,UKR
361,GBR
371,FIN
390,ESP
395,RUS
403,DEU
460,CHN
470,RUS
485,RUS
488,RUS
499,RUS
510,RUS
513,IND
519,IND
540,MMR
547,THA
551,MMR
558,IND
569,BOL
594,PER
624,BRA
631,PER
777,USA
1121,NPL
1148,NPL
1149,NPL
1156,NPL
1295,SLE
1314,SLE
1342,GBR
1354,LVA
1445,ZAF
1449,RUS
1601,IRL
1609,HUN
1610,RUS
1611,RUS
1613,AZE
1624,BRA
1904,PAN
2286,MYS
2685,PNG
1507,BRA
1399,CMR
1398,CMR
2113,PNG
2507,VUT
595,BRA
1966,VEN
2711,PNG
314,COL
779,USA
657,PER
661,BOL
2047,CHN
809,USA
810,USA
665,CHL
1776,BRA
2060,ARG
2112,PNG
2280,IDN
729,PER
571,BRA
728,PER
1708,BRA
287,BRA
792,USA
582,BOL
173,AUS
181,AUS
179,AUS
198,AUS
1672,BRA
26,NGA
652,BRA
811,USA
1535,USA
649,BRA
2069,BRA
801,USA
2508,VUT
239,AUS
1704,BRA
1389,NGA
1615,BRA
1619,BRA
789,USA
1463,USA
44,CMR
37,CMR
580,BOL
816,USA
814,USA
812,USA
1643,TCD
834,USA
836,USA
835,USA
1623,BRA
817,USA
865,USA
279,USA
1470,USA
1370,MEX
2157,VUT
2521,IDN
802,USA
2072,AUS
235,AUS
2266,IDN
2120,PNG
2563,IDN
2074,AUS
658,ARG
2139,SLB
1462,COL
248,AUS
38,CMR
2106,PNG
2655,PNG
2200,PHL
2722,IND
163,RUS
1789,BRA
178,AUS
960,USA
2417,CHN
40,CMR
600,BRA
2551,IDN
152,USA
606,BOL
609,BRA
2077,AUS
611,BRA
2549,IDN
869,USA
793,USA
2146,VUT
218,AUS
2147,VUT
640,BRA
651,PER
679,RUS
719,RUS
2138,SLB
249,AUS
902,USA
455,CHN
527,VNM
1359,MEX
1958,BOL
2142,VUT
2149,VUT
2150,VUT
2151,VUT
2152,VUT
2154,VUT
2513,VUT
1663,BRA
2071,AUS
844,USA
369,UKR
133,ZAF
204,AUS
815,USA
820,USA
567,BRA
805,USA
2114,PNG
2515,VUT
1400,CMR
78,ETH
583,PER
437,NPL
195,AUS
636,PER
132,ZAF
575,BRA
664,BRA
913,MEX
995,BRA
201,AUS
221,AUS
217,AUS
668,ECU
668,PER
829,USA
2160,NCL
891,USA
764,USA
1864,HND
502,RUS
194,AUS
115,TZA
2591,IDN
2593,IDN
2594,IDN
1867,BRA
453,CHN
454,CHN
1942,BRA
1880,BRA
613,BRA
2595,IDN
202,AUS
2644,VUT
1655,TCD
884,USA
214,AUS
1674,BRA
1674,SUR
763,RUS
627,BRA
110,ZAI
2604,IDN
269,USA
270,USA
887,USA
1840,BRA
1465,USA
892,USA
2698,PNG
231,AUS
1002,THA
2125,PNG
416,RUS
2041,CHN
2706,PNG
1326,CAN
199,AUS
893,USA
2707,PNG
223,AUS
251,AUS
615,BRA
863,USA
1509,BRA
819,USA
515,CHN
206,AUS
203,AUS
1450,MNG
2143,VUT
2144,VUT
2148,VUT
2153,VUT
2155,VUT
2270,IDN
1794,BRA
236,AUS
572,BRA
219,AUS
1459,USA
780,USA
826,USA
790,USA
637,BRA
234,AUS
775,USA
2079,AUS
2578,IDN
153,USA
176,AUS
942,MEX
475,JPN
174,AUS
2510,VUT
2376,CAN
161,USA
1957,BRA
1876,CRI
1953,BOL
2133,SLB
317,VEN
970,MEX
2036,CHN
650,CHL
171,AUS
2176,ISR
1315,SLE
192,AUS
2531,IDN
472,RUS
1857,BRA
2230,VNM
2231,VNM
452,CHN
452,RUS
23,CMR
23,NGA
183,AUS
1940,PNG
1316,SLE
621,BOL
2108,PNG
2599,IDN
205,AUS
2550,IDN
824,USA
227,AUS
229,AUS
860,USA
685,VEN
2648,VUT
1991,KHM
400,NOR
400,SWE
419,SWE
2575,IDN
423,RUS
244,AUS
238,AUS
2542,IDN
2040,CHN
1806,BRA
207,AUS
2534,IDN
1265,MEX
1769,BRA
