id,name,country,country_codes,iso,severity,population,latitude,longitude,description,french_name,spanish_name
1022,South Italian,Italy,ITA,nap,Vulnerable,7500000,40.9798,15.2490,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",italien du sud,napolitano-calabrés
1023,Sicilian,Italy,ITA,scn,Vulnerable,5000000,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",sicilien,siciliano
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,4800000,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",bas-saxon,bajo sajón
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,4000000,53.9560,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,biélorusse,bielorruso
382,Lombard,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,3500000,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",lombard,lombardo
405,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,3500000,46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",romani,romaní
2211,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,3000000,32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)",yiddish (Israël),yiddish (Israel)
1586,Gondi,India,IND,gon,Vulnerable,2713790,19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa",gondi,gondí
1020,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,2600000,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,francique ripuaire -limbourgeois,limburgués-ripuarino
1943,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,quh,Vulnerable,2300000,-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia.",quechua bolivien du sud,quechua boliviano meridional
1565,Kumaoni,"India, Nepal","IND, NPL",kfy,Vulnerable,2003783,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",kumaoni,cumauní
